il,total_records,unique_districts,unique_townships,unique_mahalle,unique_pk,lat_min,lat_max,lon_min,lon_max,pct_mahalle,lat_range,lon_range
KASTAMONU,4309,20,23,4247,42,41.0164957,42.005597,33.003712,34.4680011,4.0,0.9891,1.4643
GIRESUN,2682,16,26,2660,40,40.1351681,41.0646879,38.0704188,39.1434047,5.9,0.9295,1.073
ERZURUM,2376,20,23,1069,23,39.35049,40.8268183,40.6943124,42.3452549,99.9,1.4763,1.6509
SIVAS,2311,17,32,2164,48,38.7213343,40.301321,36.0711044,38.6084307,9.9,1.58,2.5373
SINOP,1993,9,10,1982,18,41.3295166,42.0265798,34.3395857,35.2650575,2.5,0.6971,0.9255
ARTVIN,1832,9,10,1821,18,40.8108286,41.4810826,41.3093534,42.3568859,2.1,0.6703,1.0475
BOLU,1628,9,15,1609,23,40.3983169,40.939476,30.7866167,32.2009075,5.2,0.5412,1.4143
ZONGULDAK,1524,8,27,1503,34,41.180375,41.5001302,31.3861776,32.138553,6.3,0.3198,0.7524
CORUM,1472,14,20,1425,33,40.0215368,41.1853888,34.2317309,35.2953447,7.9,1.1639,1.0636
ELAZIG,1451,11,29,1424,39,38.3932271,38.9564458,38.6999128,40.134504,7.3,0.5632,1.4346
TOKAT,1448,12,40,1407,51,39.9974984,40.6727976,35.6832655,37.3744156,13.1,0.6753,1.6912
SANLIURFA,1444,13,18,1280,18,36.708295,37.7540905,37.945736,40.0516383,99.9,1.0458,2.1059
ANKARA,1434,25,84,1263,84,38.9389329,40.4914804,31.3503453,33.8078573,100.0,1.5525,2.4575
RIZE,1363,12,20,1336,31,40.7779924,41.271235,40.3609704,41.1414159,12.1,0.4932,0.7804
IZMIR,1308,30,106,1076,106,37.9509698,39.1189476,26.3028171,28.20843,99.7,1.168,1.9056
SAMSUN,1258,17,29,1063,29,40.9082173,41.6397898,35.4604721,36.9721685,100.0,0.7316,1.5117
KONYA,1160,31,74,1019,75,36.9239246,39.0370572,31.4201959,34.1868412,100.0,2.1131,2.7666
BALIKESIR,1136,20,61,991,61,39.2387054,40.5861532,26.6916708,28.6253818,100.0,1.3474,1.9337
ADIYAMAN,1136,9,28,1087,35,37.5784978,38.0333091,37.6395601,39.0333202,9.2,0.4548,1.3938
KARABUK,1100,6,12,1089,17,40.9446697,41.4229445,32.3279252,32.9581882,6.6,0.4783,0.6303
GUMUSHANE,1098,6,15,1089,20,40.1255234,40.7018638,39.0857106,39.6530012,4.6,0.5763,0.5673
AFYONKARAHISAR,1095,18,65,1019,82,37.8973577,39.0319281,29.799414,31.2685926,24.2,1.1346,1.4692
MANISA,1093,17,69,956,69,38.2382254,39.262153,27.3155401,28.8678699,99.9,1.0239,1.5523
BINGOL,1088,8,13,1076,20,38.7495382,39.434076,40.0685835,41.0518147,4.7,0.6845,0.9832
BURSA,1072,17,59,923,59,39.6772243,40.4955352,28.3590588,29.7223732,100.0,0.8183,1.3633
DIYARBAKIR,1049,17,22,961,22,37.8481232,38.5003825,39.2881193,41.0120269,100.0,0.6523,1.7239
BARTIN,1026,4,10,1026,13,41.4772076,41.8438903,32.3340859,32.7207891,3.2,0.3667,0.3867
TUNCELI,1018,8,10,1011,17,38.8655563,39.4869645,38.9104258,39.8985207,3.5,0.6214,0.9881
ERZINCAN,1004,9,19,975,27,39.2620966,39.9719481,38.4965266,40.383,12.9,0.7099,1.8865
ISTANBUL,975,39,251,784,266,40.8299498,41.184471,28.2481709,29.6125216,99.9,0.3545,1.3644
AGRI,965,8,15,936,22,39.2334202,39.7983792,42.6754699,44.0793593,8.3,0.565,1.4039
KUTAHYA,932,13,31,873,43,38.8543635,39.8014005,28.9800147,30.1075757,18.1,0.947,1.1276
ANTALYA,917,19,59,805,59,36.1993752,37.0969444,29.6413365,32.3175066,100.0,0.8976,2.6762
CANAKKALE,910,12,27,850,37,39.601185,40.702812,25.9084625,27.2555358,6.3,1.1016,1.3471
YOZGAT,841,14,37,782,50,39.191259,40.212036,34.4649934,35.8805457,18.3,1.0208,1.4156
ADANA,832,15,64,756,65,36.5646007,38.2612461,34.8718227,36.2202435,100.0,1.6966,1.3484
MERSIN,811,13,62,725,63,36.0740244,37.1665396,32.8312106,34.8959891,100.0,1.0925,2.0648
GAZIANTEP,786,9,26,720,26,36.8311429,37.4252863,36.6365639,37.9995946,99.7,0.5941,1.363
ORDU,774,19,21,680,21,40.4635622,41.1262405,37.0177445,38.0585763,99.7,0.6627,1.0408
BITLIS,752,7,18,733,24,38.2250087,38.8043058,41.9219414,42.7346369,10.9,0.5793,0.8127
BATMAN,740,6,15,715,20,37.5683088,39.1013841,39.6002772,41.4886025,15.4,1.5331,1.8883
MALATYA,721,13,31,670,31,38.0888395,39.0422423,37.4899871,39.038417,99.9,0.9534,1.5484
KAYSERI,718,16,38,647,39,38.1003432,39.1059259,35.0843743,36.4970264,100.0,1.0056,1.4127
KAHRAMANMARAS,716,11,17,652,17,37.3754351,38.2438548,36.3538657,37.4421885,99.9,0.8684,1.0883
TRABZON,710,18,22,606,22,40.7478554,41.0825808,39.1938395,40.3680473,100.0,0.3347,1.1742
MARDIN,706,10,15,657,15,37.0691755,37.5459484,40.2691843,41.7206012,99.9,0.4768,1.4514
AMASYA,705,7,11,689,17,40.3971472,40.8736228,35.0242149,36.321973,14.9,0.4765,1.2978
VAN,694,13,16,668,16,38.0069067,39.1355203,42.8077339,44.1695498,100.0,1.1286,1.3618
USAK,692,6,12,683,17,38.3206332,38.7399733,28.9670144,29.7531896,9.0,0.4193,0.7862
MUS,688,6,28,669,33,38.6826159,39.1720873,41.4546645,42.5409459,8.3,0.4895,1.0863
DUZCE,687,8,17,666,23,40.7720977,41.0882278,30.9386008,31.4446682,15.0,0.3161,0.5061
AYDIN,674,17,23,576,23,37.3769167,37.9654749,27.2668129,28.7434958,99.7,0.5886,1.4767
SAKARYA,673,16,18,592,18,40.3965784,41.0956091,30.1876595,30.8507446,100.0,0.699,0.6631
CANKIRI,627,12,17,607,28,40.3459757,40.9438658,32.8841329,33.987241,13.6,0.5979,1.1031
DENIZLI,620,19,28,548,28,37.0761111,38.3005877,28.8326718,29.7373813,100.0,1.2245,0.9047
OSMANIYE,602,7,16,589,22,37.0666416,37.4620243,33.7088642,36.555539,16.9,0.3954,2.8467
HATAY,595,15,23,547,23,35.9029545,36.9745888,35.8865358,36.5672311,100.0,1.0716,0.6807
ISPARTA,575,13,26,543,38,37.4949942,38.2994784,30.3003582,31.3882307,31.3,0.8045,1.0879
MUGLA,569,13,13,505,13,36.6221019,37.4456315,27.430651,29.3621795,99.5,0.8235,1.9315
ESKISEHIR,542,14,39,494,39,39.1584322,40.0389485,30.1427534,31.8096766,99.8,0.8805,1.6669
SIIRT,516,7,17,506,23,37.750599,38.162873,41.6973129,42.5479907,9.9,0.4123,0.8507
KARS,516,8,10,479,17,40.140677,40.8464295,42.5894682,43.6234957,11.2,0.7058,1.034
BURDUR,499,11,19,466,29,36.9961788,37.7248394,29.5110916,30.5855392,23.2,0.7287,1.0744
KOCAELI,488,12,32,447,32,40.6912501,41.0703914,29.3473731,30.1523298,99.6,0.3791,0.805
HAKKARI,437,5,10,430,14,37.0812795,37.6058682,43.611042,44.5735617,9.6,0.5246,0.9625
KIRSEHIR,422,7,12,415,18,39.0602118,39.6250244,33.7243959,34.4158032,12.3,0.5648,0.6914
AKSARAY,418,8,25,393,31,38.2474175,38.9849345,33.412823,34.3714161,25.1,0.7375,0.9586
NEVSEHIR,384,8,25,367,32,38.4003089,39.2111466,34.5026572,34.9116025,19.5,0.8108,0.4089
NIGDE,381,6,31,376,36,37.5457344,38.1749713,34.3715056,34.9863918,17.8,0.6292,0.6149
TEKIRDAG,381,11,16,353,16,40.6148728,41.4433241,26.9023798,27.999468,100.0,0.8285,1.0971
EDIRNE,368,9,23,351,31,40.725028,41.8390388,26.0845671,26.9080072,20.1,1.114,0.8234
BILECIK,363,8,12,345,19,39.9067759,40.357266,29.9031259,30.5190761,14.6,0.4505,0.616
SIRNAK,356,7,20,343,26,37.2491577,37.5709495,41.8924031,43.1702194,14.6,0.3218,1.2778
KIRIKKALE,349,9,15,339,23,39.4636988,40.1576767,33.3780028,34.0312969,22.9,0.694,0.6533
ARDAHAN,347,6,10,340,15,40.7930546,41.5083775,42.6078403,43.1345966,10.4,0.7153,0.5268
KILIS,300,4,5,294,8,36.6750392,36.8861294,36.9155864,37.4668663,30.0,0.2111,0.5513
KIRKLARELI,299,8,24,286,31,41.3460175,41.9449622,26.9181588,27.7670379,21.1,0.5989,0.8489
KKTC,271,6,28,266,65,,,,,19.9,,
IGDIR,244,4,8,242,11,36.370244,40.0402158,30.2876043,44.5160371,10.7,3.67,14.2284
BAYBURT,238,3,7,236,9,40.1630281,40.3888009,39.8912861,40.2205036,9.2,0.2258,0.3292
YALOVA,108,6,15,108,20,40.5196199,40.6963485,28.8280114,29.5099438,30.6,0.1767,0.6819
